Epoch: 10/700, loss: 32.16755002628581, correct: 28, time_per_epoch: 0.017763267863880505
Epoch: 270/700, loss: 7.225284790975515, correct: 49, time_per_epoch: 0.019602398150961337
Epoch: 280/700, loss: 6.908208007952549, correct: 49, time_per_epoch: 0.019621597066044383
Epoch: 290/700, loss: 6.617749660064817, correct: 49, time_per_epoch: 0.019602347075734352
Epoch: 300/700, loss: 6.3504310969248285, correct: 49, time_per_epoch: 0.01961663078232065
Epoch: 310/700, loss: 6.102328197172607, correct: 49, time_per_epoch: 0.019609324035153895
Epoch: 320/700, loss: 5.874689787920073, correct: 49, time_per_epoch: 0.019628688182414877
Epoch: 330/700, loss: 5.6664161446057495, correct: 49, time_per_epoch: 0.019607917779882147
Epoch: 340/700, loss: 5.4735420569049, correct: 49, time_per_epoch: 0.019626908987498352
Epoch: 350/700, loss: 5.294460262154045, correct: 49, time_per_epoch: 0.019641358628232256
Epoch: 360/700, loss: 5.12416446955328, correct: 49, time_per_epoch: 0.019620996432951614
Epoch: 370/700, loss: 4.964956618343197, correct: 49, time_per_epoch: 0.019635854063008353
Epoch: 380/700, loss: 4.816757481097359, correct: 49, time_per_epoch: 0.01961983971082632
Epoch: 390/700, loss: 4.678953438099002, correct: 49, time_per_epoch: 0.01964060119960619
Epoch: 400/700, loss: 4.547442325102038, correct: 49, time_per_epoch: 0.01962712696960145
Epoch: 410/700, loss: 4.423812174844821, correct: 49, time_per_epoch: 0.01964303118759118
Epoch: 420/700, loss: 4.305876621638378, correct: 49, time_per_epoch: 0.01967596667962516
Epoch: 430/700, loss: 4.194690360088377, correct: 50, time_per_epoch: 0.01969297192212877
Epoch: 440/700, loss: 4.089232192460351, correct: 50, time_per_epoch: 0.01967424059671069
Epoch: 450/700, loss: 3.988286058104848, correct: 50, time_per_epoch: 0.01972876049726871
Epoch: 460/700, loss: 3.892675044266178, correct: 50, time_per_epoch: 0.019714177559875357
Epoch: 470/700, loss: 3.802390027975652, correct: 50, time_per_epoch: 0.019725050389640144
Epoch: 480/700, loss: 3.7163663494989643, correct: 50, time_per_epoch: 0.019711282793548647
Epoch: 490/700, loss: 3.6342567158511057, correct: 50, time_per_epoch: 0.0197212584392602
Epoch: 500/700, loss: 3.5557550955203654, correct: 50, time_per_epoch: 0.019712624673595924
Epoch: 510/700, loss: 3.4805900688517863, correct: 50, time_per_epoch: 0.019723856752399363
Epoch: 520/700, loss: 3.408519799557345, correct: 50, time_per_epoch: 0.01971538739561348
Epoch: 530/700, loss: 3.339327969626087, correct: 50, time_per_epoch: 0.019701623198227245
Epoch: 540/700, loss: 3.27282040749945, correct: 50, time_per_epoch: 0.01971619583101678
Epoch: 550/700, loss: 3.208822247018647, correct: 50, time_per_epoch: 0.01970451886338028
Epoch: 560/700, loss: 3.1471755106425756, correct: 50, time_per_epoch: 0.019716254742600275
Epoch: 570/700, loss: 3.087737041161794, correct: 50, time_per_epoch: 0.019703178606183643
Epoch: 580/700, loss: 3.030413723306381, correct: 50, time_per_epoch: 0.019709316670586854
Epoch: 590/700, loss: 2.9750991297119596, correct: 50, time_per_epoch: 0.019696020232844474
Epoch: 600/700, loss: 2.921671721943079, correct: 50, time_per_epoch: 0.01970531063746295
Epoch: 610/700, loss: 2.8700817105850205, correct: 50, time_per_epoch: 0.01969602455289001
Epoch: 620/700, loss: 2.8201419729857657, correct: 50, time_per_epoch: 0.019708619601484657
Epoch: 630/700, loss: 2.771765029806652, correct: 50, time_per_epoch: 0.019704934723214756
Epoch: 640/700, loss: 2.7248740353851235, correct: 50, time_per_epoch: 0.019752611422129616
Epoch: 650/700, loss: 2.679398323955853, correct: 50, time_per_epoch: 0.0197474055575885
Epoch: 660/700, loss: 2.6352707402755815, correct: 50, time_per_epoch: 0.01976015852727616
Epoch: 670/700, loss: 2.592429925346904, correct: 50, time_per_epoch: 0.019751736019833786
Epoch: 680/700, loss: 2.5508183374334568, correct: 50, time_per_epoch: 0.01976305272610702
Epoch: 690/700, loss: 2.510382304904179, correct: 50, time_per_epoch: 0.01975357135711979
Epoch: 700/700, loss: 2.471071655857451, correct: 50, time_per_epoch: 0.01976034338566104
